id_x,name_x,date,isLive_x,relativeDesktopUrl,openMarketCount,id_y,name_y,name,lx,odds,line,betTrend
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281708,Vencedor do jogo,Tokyo Yakult Swallows,1,2.0,101.0,13.0
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281708,Vencedor do jogo,Yomiuri Giants,2,1.65,301.0,87.0
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281708,Vencedor do jogo,,,,,
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281706,Resultado do 1.º inning,Tokyo Yakult Swallows,1,2.0,101.0,13.0
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281706,Resultado do 1.º inning,Yomiuri Giants,2,1.65,301.0,87.0
3002201387,Tokyo Yakult Swallows - Yomiuri Giants,2024-05-10T09:00:00Z,False,tokyo-yakult-swallows-yomiuri-giants-m3002201387,25,3186281706,Resultado do 1.º inning,,,,,
3002201388,Yokohama BayStars - Hanshin Tigers,2024-05-10T09:00:00Z,False,yokohama-baystars-hanshin-tigers-m3002201388,25,3186281084,Vencedor do jogo,Yokohama BayStars,1,1.68,101.0,78.0
3002201388,Yokohama BayStars - Hanshin Tigers,2024-05-10T09:00:00Z,False,yokohama-baystars-hanshin-tigers-m3002201388,25,3186281084,Vencedor do jogo,Hanshin Tigers,2,1.95,301.0,22.0
3002201388,Yokohama BayStars - Hanshin Tigers,2024-05-10T09:00:00Z,False,yokohama-baystars-hanshin-tigers-m3002201388,25,3186281084,Vencedor do jogo,,,,,
3002201388,Yokohama BayStars - Hanshin Tigers,2024-05-10T09:00:00Z,False,yokohama-baystars-hanshin-tigers-m3002201388,25,3186281082,Resultado do 1.º inning,Yokohama BayStars,1,1.68,101.0,78.0
