gameid,date,home,away,competition,name,odds,is_cashoutable
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Acima de 6.5,1.6,False
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Abaixo de 6.5,2.3,False
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Acima de 7.5,2.15,False
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Abaixo de 7.5,1.7,False
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Acima de 8.5,2.7,False
3001802637,2023-05-04T00:40:00Z,COL Rockies,MIL Brewers,EUA - MLB,Abaixo de 8.5,1.45,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 4.5,1.35,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 4.5,3.0,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 5.5,1.65,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 5.5,2.15,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 6.5,1.95,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 6.5,1.8,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Acima de 7.5,2.5,False
3001695707,2023-05-04T04:00:00Z,Saitama Seibu Lions,Hokkaido Nippon Ham Fighters,Japão - NPB,Abaixo de 7.5,1.5,False
